Date,Open,High ,Low,Last,Close,Total Traded Quantity, Turnover  (Lacs)
2017-07-14,1128.25,1128.95,1112.05,1119.5,1117.35,872831,"9,750.65"
2017-07-17,1120.6,1128.7,1115.25,1125.5,1125.45,1260921,"14,146.81"
2017-07-18,1118,1150,1117,1146.5,1146.6,648737,"7,409.13"
2017-07-19,1154.95,1158,1146.05,1152.95,1155.85,964588,"11,133.81"
2017-07-20,1156.9,1157.85,1133.95,1156.15,1155.55,1287749,"14,787.29"
2017-07-21,1156,1172.5,1148,1156.05,1156.1,2017663,"23,426.65"
2017-07-24,1151.6,1159.5,1140,1158.1,1155.75,2063340,"23,712.87"
2017-07-25,1160.05,1165,1140,1148,1150.1,2963793,"34,118.65"
2017-07-26,1134,1144.8,1126,1136.55,1134,1973462,"22,354.97"
2017-07-27,1136.55,1153,1136.05,1153,1148.8,1033335,"11,836.29"
2017-07-28,1148,1156.9,1139,1156,1153.25,616845,"7,083.42"
2017-07-31,1154.15,1164,1146.1,1163,1161.7,777721,"8,984.42"
2017-08-01,1162,1163,1140.5,1150,1148.2,1176561,"13,494.73"
2017-08-02,1150,1152,1135,1145,1144.5,848781,"9,681.48"
2017-08-03,1143,1148.9,1127.1,1148,1146.1,997619,"11,361.03"
2017-08-04,1144,1159.95,1140.65,1159,1157.3,529318,"6,091.99"
2017-08-07,1160,1160.75,1142.4,1150,1149.65,576280,"6,611.76"
2017-08-08,1146,1151.5,1139.1,1150,1147.35,600256,"6,864.69"
2017-08-09,1147.8,1158.9,1140.1,1155.55,1155.55,530763,"6,105.67"
2017-08-10,1154,1160.3,1146,1152.5,1151.1,649594,"7,493.26"
2017-08-11,1135.65,1148.75,1121.2,1146,1143.9,843233,"9,575.66"
2017-08-14,1149.45,1163.7,1145,1155,1154,511994,"5,909.83"
2017-08-16,1154.35,1155.3,1129,1140,1141.3,857454,"9,765.03"
2017-08-17,1141.3,1142.8,1132,1134,1134.95,494638,"5,619.43"
2017-08-18,1131.95,1142.45,1123,1135.55,1140,357491,"4,050.78"
2017-08-21,1141.8,1141.8,1128.5,1137.5,1134.45,456594,"5,173.16"
2017-08-22,1140.1,1142.6,1125.95,1126,1129.45,568911,"6,431.90"
2017-08-23,1131.8,1144.5,1114,1140.1,1141.3,513036,"5,803.51"
2017-08-24,1140.4,1145,1131,1131.2,1135.6,483362,"5,492.94"
2017-08-28,1131.5,1159.75,1126.1,1155.9,1155.9,751938,"8,624.52"
2017-08-29,1155,1155,1139.3,1150.2,1151.7,578071,"6,628.91"
2017-08-30,1149.9,1160.35,1144.3,1154,1153.35,674280,"7,785.74"
2017-08-31,1146.35,1174,1144.3,1171,1168.55,1131097,"13,138.43"
2017-09-01,1174.2,1219,1166,1215,1215.9,1523879,"18,276.52"
2017-09-04,1215.9,1215.9,1192,1197,1197.05,682612,"8,183.80"
2017-09-05,1201.25,1223.05,1200.4,1206.05,1206.35,714964,"8,656.71"
2017-09-06,1198.35,1213.45,1198,1204,1206.05,370400,"4,472.61"
2017-09-07,1218,1218.8,1193.95,1196.1,1198.65,832839,"10,004.03"
2017-09-08,1195,1206,1190,1204.05,1203.95,477517,"5,728.02"
2017-09-11,1206,1241,1199.6,1238.5,1238.05,843302,"10,315.57"
2017-09-12,1242,1259.95,1236.05,1255.8,1256.35,1461215,"18,292.07"
2017-09-13,1250.05,1262,1249,1250,1254.95,913364,"11,463.75"
2017-09-14,1258,1262,1241,1241,1246.05,754072,"9,450.66"
2017-09-15,1230.5,1249.65,1226.2,1247.45,1245.5,912016,"11,301.66"
2017-09-18,1250,1261,1248.8,1252.5,1255.95,419287,"5,264.39"
2017-09-19,1262,1262,1249.2,1253,1253.3,464997,"5,826.34"
2017-09-20,1256.5,1256.9,1235,1238.2,1237.3,473176,"5,869.39"
2017-09-21,1238,1247.25,1224.95,1229,1229.1,772766,"9,554.73"
2017-09-22,1218.05,1230.2,1204.9,1215,1213.25,896125,"10,892.28"
2017-09-25,1205.15,1213.45,1192,1201,1196.95,917093,"11,008.15"
2017-09-26,1187,1189.75,1164,1172,1174,740276,"8,695.14"
2017-09-27,1173.1,1178.55,1152.85,1159.5,1160,786410,"9,169.11"
2017-09-28,1155,1165,1123,1126.9,1130,2353175,"26,659.81"
2017-09-29,1130,1144.95,1127,1131.05,1131.7,791548,"9,005.18"
2017-10-03,1141.3,1160,1135.5,1152,1148.8,834092,"9,573.72"
2017-10-04,1154,1167.1,1147.55,1154.1,1154.05,626750,"7,267.61"
2017-10-05,1149.65,1161.5,1147.6,1152.85,1153.25,327057,"3,777.43"
2017-10-06,1155,1169.7,1153,1154.9,1157.3,344962,"4,003.85"
2017-10-09,1169.8,1169.8,1152.8,1157,1158.6,363972,"4,230.70"
2017-10-10,1156,1166.95,1154,1164,1163,316767,"3,682.82"
2017-10-11,1170,1175.75,1155,1155.5,1160.6,602214,"7,021.10"
2017-10-12,1156.5,1162,1146.05,1159.5,1158.8,658884,"7,593.34"
2017-10-13,1158.8,1177.1,1154.15,1175.95,1174.25,417081,"4,869.56"
2017-10-16,1181,1185,1166,1169,1171.05,689380,"8,081.96"
2017-10-17,1170,1200,1170,1197.7,1197.15,979278,"11,631.07"
2017-10-18,1197.8,1197.8,1170,1175,1179.65,523048,"6,177.46"
2017-10-19,1175,1183.25,1171.15,1176.6,1178.5,77085,908.21
2017-10-23,1184.45,1191.85,1159,1172.6,1174.15,698954,"8,186.35"
2017-10-24,1175,1234,1175,1229,1222.9,2345084,"28,298.04"
2017-10-25,1222.9,1232.05,1195,1199.25,1201.7,1015698,"12,306.20"
2017-10-26,1194,1203.65,1180.7,1187.25,1191.15,808543,"9,621.64"
2017-10-27,1193.9,1195,1178.6,1189,1184.55,346755,"4,113.57"
2017-10-30,1185,1198.8,1179.55,1183,1182.55,280643,"3,330.37"
2017-10-31,1182,1188.85,1176.15,1182,1180.85,279632,"3,304.14"
2017-11-01,1185,1188.55,1174,1176.4,1175.95,260543,"3,073.95"
2017-11-02,1176.4,1181.95,1166,1180,1178.4,245949,"2,888.10"
2017-11-03,1182.45,1183.1,1167.3,1172,1172.45,258595,"3,035.00"
2017-11-06,1168,1173.1,1155,1159.95,1162.35,314729,"3,661.71"
2017-11-07,1158,1164.65,1132.5,1142,1141.45,758497,"8,670.67"
2017-11-08,1147.1,1179.4,1145.05,1168,1172.2,691775,"8,087.25"
2017-11-09,1177.85,1198.45,1173.6,1196.5,1195.6,884722,"10,535.58"
2017-11-10,1194.9,1194.9,1160,1185,1178.6,1130647,"13,233.50"
2017-11-13,1184,1189.5,1168.85,1174.95,1174.95,363501,"4,291.83"
2017-11-14,1174.95,1176,1152.4,1155,1155.05,547558,"6,341.66"
2017-11-15,1155,1190,1151.05,1183,1181.55,829732,"9,697.26"
2017-11-16,1183,1189,1175,1178.1,1179.55,429230,"5,063.20"
2017-11-17,1186,1193.9,1166,1167,1171.3,454013,"5,348.05"
2017-11-20,1173,1176.45,1159.65,1164,1166.35,255840,"2,985.23"
2017-11-21,1168.6,1175,1156,1162.5,1160.3,421268,"4,895.31"
2017-11-22,1162.5,1176.5,1155,1175.5,1174.3,731572,"8,555.28"
2017-11-23,1175.5,1177.9,1157.05,1160.7,1159.6,482632,"5,606.66"
2017-11-24,1164,1164,1148.15,1161,1159.6,406704,"4,702.83"
2017-11-27,1158,1160,1146.1,1158,1156.5,373156,"4,301.07"
