"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","16-Jul-2018","       1367.80","       1370.00","       1394.90","       1351.10","       1357.00","       1359.55","       1379.24","    1234066","          1702075134.95","      47270","     472677","         38.30"
"ASIANPAINT","EQ","17-Jul-2018","       1359.55","       1365.40","       1383.50","       1353.10","       1375.40","       1376.25","       1372.46","    1166581","          1601081305.75","      66618","     692198","         59.34"
"ASIANPAINT","EQ","18-Jul-2018","       1376.25","       1386.00","       1399.95","       1377.55","       1389.05","       1393.00","       1390.94","    1085504","          1509871661.80","      60862","     460944","         42.46"
"ASIANPAINT","EQ","19-Jul-2018","       1393.00","       1395.00","       1408.50","       1393.95","       1406.00","       1403.00","       1402.60","     848175","          1189648744.40","      33725","     261773","         30.86"
"ASIANPAINT","EQ","20-Jul-2018","       1403.00","       1403.00","       1404.75","       1381.50","       1395.00","       1396.45","       1393.84","     575194","           801729061.65","      29434","     258607","         44.96"
"ASIANPAINT","EQ","23-Jul-2018","       1396.45","       1425.10","       1464.40","       1396.60","       1433.50","       1433.20","       1427.03","    1975242","          2818729968.15","      86205","     774246","         39.20"
"ASIANPAINT","EQ","24-Jul-2018","       1433.20","       1443.00","       1476.20","       1425.50","       1472.80","       1467.75","       1456.49","    2171087","          3162165221.70","      64607","     645828","         29.75"
"ASIANPAINT","EQ","25-Jul-2018","       1467.75","       1453.00","       1490.60","       1421.35","       1446.20","       1450.15","       1455.31","    4310816","          6273556794.75","     157368","    1102135","         25.57"
"ASIANPAINT","EQ","26-Jul-2018","       1450.15","       1448.10","       1457.85","       1422.25","       1437.00","       1433.85","       1432.57","    1732715","          2482228894.20","      58645","     887318","         51.21"
"ASIANPAINT","EQ","27-Jul-2018","       1433.85","       1437.00","       1454.00","       1425.35","       1434.25","       1434.85","       1439.87","     630981","           908528799.05","      27448","     189596","         30.05"
"ASIANPAINT","EQ","30-Jul-2018","       1434.85","       1434.25","       1451.85","       1427.00","       1430.00","       1430.20","       1440.38","     750392","          1080853169.10","      34298","     349862","         46.62"
"ASIANPAINT","EQ","31-Jul-2018","       1430.20","       1430.00","       1456.60","       1426.00","       1449.00","       1451.40","       1448.81","    1221636","          1769920175.35","      47816","     690473","         56.52"
"ASIANPAINT","EQ","01-Aug-2018","       1451.40","       1458.00","       1459.95","       1430.80","       1437.25","       1437.20","       1444.62","    1121286","          1619833246.25","      60783","     650364","         58.00"
"ASIANPAINT","EQ","02-Aug-2018","       1437.20","       1437.20","       1443.90","       1414.85","       1415.00","       1418.40","       1428.68","     836564","          1195183608.15","      36412","     483514","         57.80"
"ASIANPAINT","EQ","03-Aug-2018","       1418.40","       1424.00","       1426.25","       1407.00","       1413.00","       1411.85","       1412.35","    1002287","          1415579599.15","      28186","     680827","         67.93"
"ASIANPAINT","EQ","06-Aug-2018","       1411.85","       1420.00","       1420.90","       1394.70","       1396.00","       1397.40","       1402.79","     795996","          1116618502.80","      22444","     540732","         67.93"
"ASIANPAINT","EQ","07-Aug-2018","       1397.40","       1399.00","       1438.00","       1399.00","       1425.00","       1424.25","       1424.14","    1915936","          2728553757.40","      51381","    1033341","         53.93"
"ASIANPAINT","EQ","08-Aug-2018","       1424.25","       1430.95","       1447.65","       1417.00","       1421.05","       1425.75","       1434.03","    1063862","          1525612262.15","      44827","     270951","         25.47"
"ASIANPAINT","EQ","09-Aug-2018","       1425.75","       1431.90","       1433.95","       1414.10","       1415.00","       1417.35","       1422.42","     903734","          1285485543.80","      22748","     623456","         68.99"
"ASIANPAINT","EQ","10-Aug-2018","       1417.35","       1420.00","       1439.90","       1409.25","       1416.00","       1418.60","       1428.11","     997053","          1423898544.00","      34076","     349884","         35.09"
"ASIANPAINT","EQ","13-Aug-2018","       1418.60","       1414.00","       1421.60","       1397.00","       1400.00","       1399.25","       1407.73","     875198","          1232046836.55","      33281","     392969","         44.90"
"ASIANPAINT","EQ","14-Aug-2018","       1399.25","       1407.90","       1416.70","       1391.55","       1396.85","       1395.10","       1405.72","     729379","          1025303681.20","      19690","     363097","         49.78"
"ASIANPAINT","EQ","16-Aug-2018","       1395.10","       1401.00","       1410.00","       1387.00","       1398.95","       1394.80","       1397.99","    1050412","          1468460955.15","      47144","     522509","         49.74"
"ASIANPAINT","EQ","17-Aug-2018","       1394.80","       1403.00","       1405.15","       1390.00","       1400.00","       1400.65","       1396.54","     537229","           750259647.85","      25116","     206636","         38.46"
"ASIANPAINT","EQ","20-Aug-2018","       1400.65","       1406.00","       1431.00","       1398.00","       1410.05","       1409.10","       1415.33","    1259905","          1783181921.55","      51889","     574941","         45.63"
"ASIANPAINT","EQ","21-Aug-2018","       1409.10","       1416.45","       1425.95","       1395.40","       1403.20","       1403.30","       1408.15","    1520772","          2141477435.50","      51056","     933946","         61.41"
"ASIANPAINT","EQ","23-Aug-2018","       1403.30","       1410.00","       1412.00","       1390.70","       1395.00","       1394.75","       1400.09","     859955","          1204012131.30","      48970","     430999","         50.12"
"ASIANPAINT","EQ","24-Aug-2018","       1394.75","       1395.00","       1411.00","       1385.05","       1393.10","       1393.50","       1397.24","     919355","          1284559257.90","      36117","     380128","         41.35"
"ASIANPAINT","EQ","27-Aug-2018","       1393.50","       1397.50","       1407.00","       1396.50","       1400.95","       1399.80","       1401.13","     785772","          1100965075.20","      27901","     519109","         66.06"
